|tweets
257|Only 4 Days left for our Hari Raya Early-bird Special. Book before 23rd Arpil for the best discount for the holiday… https://t.co/xBMvISejz0
258|Only 5 days left for our Hari Raya Early-bird Special. Get up to $88 off your rental! Book your vehicle today!… https://t.co/Y1ekFFjnPR
259|"Only 3 days left for our Febulous Sale!

What are you waiting for? Book your vehicle now to enjoy the discount!… https://t.co/9N5ir7Lxjc"
260|With one week left to the school holiday, check out these family friendly theme parks that you might not know!… https://t.co/QeACaS5Xde
261|Get up to $30 off your booking when you book with us for 3 days or more. Find out more! https://t.co/HvvgRpDjxf https://t.co/SBgUxfXq8F
262|"Merry Christmas and a Happy New Year!
From all of us at Drive.SG. =)

P.S.: If you are renting a car this New Year,… https://t.co/MZNpCumMiM"
263|"3 days before the end of the Chinese New Year promo!
Book early, book online and save!

https://t.co/961otEYB8K https://t.co/OpUXsQszsm"
264|"Last Chance to Save on Christmas and New Year Car Rentals! 

https://t.co/t9kOCbr4cc https://t.co/l1Hf5DityK"
265|Drive.SG Exclusive Promo - Save up to $30 + $30 when you rent a car from Eazi with Drive.SG! https://t.co/dMtJIq5y9Z
266|Drive.SG Exclusive Promo - Save up to $30 + $30 when you rent a car from Eazi Car Leasing this October! T&amp;Cs apply.… https://t.co/2oAhKPYz3L
267|NEW 3-4 Day Hari Raya Packages from $450 now available. https://t.co/nwFClmBOtY https://t.co/FhQsNiN4Vx
268|"Last Minute Deals for the Vesak Weekend with voucher code ""VESAK2016""! https://t.co/EHHm6I5n51 https://t.co/SCAA77cbaE"
269|Less than 7 days left to Save Up to $68 on Hari Raya Rentals, only with Drive.SG. https://t.co/bJbScuYQY3 https://t.co/pwLaixcyOm
270|Enjoy up to $30 Off Rental Cars in June, only at Drive.SG. https://t.co/7UjMuSlZYN https://t.co/yeE92E3XOU
271|Our Hari Raya Earlybird Promo is back! Save up to $68 on Hari Raya Rentals with Drive.SG. https://t.co/Ei92lp6ymY https://t.co/m8PZiRJGzE
272|"Save $20 on the Labour Day Looong Weekend with code ""MAYDAY2016"". Ends 18th Apr. https://t.co/uIxGCcuOsY https://t.co/nx6EACrtcP"
273|Get Weekday Rentals from $55/Day from these select partners this April! More details https://t.co/hitmzg1faf https://t.co/Bx74nR85Es
274|Enjoy MPV Discounts of Up to $54.50/Day from this select partner of Drive.SG! Details@ https://t.co/KJ0lVmy2RK https://t.co/8MRAhEqCcz
275|Got your license &amp; wanna rent? Read our Updated P Plate Rental Guide to be a smart renter. https://t.co/8Dr2EbDgHz https://t.co/MGvT4qGfvN
276|Save $53.50/Day on M'sia Surcharge with Avis rentals when you book through Drive.SG. T&amp;Cs https://t.co/wFU6lF48Zn https://t.co/NSGTsSrZZ3
277|"In vehicle wifi, are drivers ready?
https://t.co/oy48jdwAg6"
278|Hi Folks, our site will be undergoing website maintenance. Do check back within 2 hours while our monkeys work on doing our improvements! :)
279|We're on 99SME.SG :) 99% SME is all about supporting and shopping with SMEs. Check this out http://t.co/RvyQ2loQlI
280|Hi @parchezzyy, yes festive seasons are more expensive because of the high demand. though we hope it hasn’t deterred you from renting!
281|Were u on our #walksg bus tour (with this beautiful lady)? Let us know which route u took &amp; if it was enjoyable. http://t.co/1kfWRxge8g
282|RT @TheListAsia: Thanks to @DriveSG for supporting #walksg! Can't afford a car in Singapore (WHO CAN?) check out Drive.sg for options!
283|RT @TheListAsia: Are you on the @driveSG bus tour through the city?  What do you think about @luxolasg?! Bring me some samples! #walksg
284|RT @TheListAsia: Did you check out @RedMartcom? Send me a pic!  Hope you're enjoying the @driveSG bus tour at #walksg!
285|RT @TechStormTV: Here's featuring the guys at Drive.SG because getting a ride for the entire family (think grandpa and grandma... http://t.…
286|Drive.SG is temporarily not accessible due to problems with our service provider 😔 Appreciate your patience as we resolve this. Updates ASAP
287|The Family @ Drive.SG wishes all mothers a very HAPPY MOTHERS' DAY! #mothersday #weekend #mothers #SundayFunDay http://t.co/78X5PO6Mi8
288|@Taqi_Salamanca Hi there! Our rates go as low as $60/weekday. 3 of our partners rent to p-platers. For more info &gt;&gt; http://t.co/AGJi7QwNST
289|@Taqi_Salamanca @truelynotorious Oh no! Please don’t leave us. :’( Can we do anything to change your mind?
290|"Thanks @BlogSingapore for the feature. We are honored. ""Best 5 Rent A Car for Budget Car Rental in Singapore"" http://t.co/OSjOb8VwUw"
291|Car renting is easy! Click. Rent. Drive. Visit #drivesg at #tiasg2015 booth 109 to find out how we do it.
292|Because who DOESN'T need a weekend off. http://t.co/PRlFQgxdB8 http://t.co/TmKs7apoUY
293|Visit #drivesg at #tiasg2015 booth 109 to know how we make car rental booking EASY
294|Want to make this Mothers' Day special? We shared 3 ideas. How about you? http://t.co/eH2C42R80j
295|For your short weekend getaway. http://t.co/JbwdkZ1fUD http://t.co/WNjWwUG4Pc
296|Thank all the mothers in your life this weekend! Be #momsdrivingforce , get a weekend rental http://t.co/2ELWfMUzJy http://t.co/gFUFKaIjos
297|2 weeks left to the end of April! Save more when you book a longer rental. http://t.co/PH1KajicfG http://t.co/iNiJC9BuAv
298|We’re having many promotions this month! Especially for the LONG WEEKEND! Check us out: http://t.co/M7RZhAMQoa http://t.co/smCLZcTv6x
299|We are saddened by the passing of Mr Lee Kuan Yew. May you rest in peace.
300|RT @d_chungster: Adrian, Co-founder of @DriveSG participating in the Q&amp;A of our #ECID15 Jakarta Roadshow! http://t.co/mGV3GZ1NkG
301|Feeling dull from back-to-work blues? Plan a short weekend getaway for something to look forward to! Transport here&gt;  http://t.co/5uVEE317G2
302|GONG XI FA CAI! The Team @ Drive.SG wishes all our Twitter fans a Happy Lunar New Year! http://t.co/pLKftP6Nbw
303|Valentine’s Day is tomorrow! Have your prepared yet? We also have a surprise upcoming. Remember to keep a lookout!
304|ROAD SAFETY: Holding a mobile device is an offence according to Road Traffic Act wef Feb 1. #drivesg #DriveSafe http://t.co/FXJe3mymBm
305|Looking to rent a car for CNY? Look no further! Head on over to http://t.co/h7mWpywf5H to compare SG’s greatest car rental deals!
306|Sorry, we are out of office today for company retreat. Please drop us an email if you have any questions. We will get back to you ASAP.
307|Drive.SG wishes everyone a HAPPY NEW YEAR! May it be a wonderful year ahead.
308|Drive.SG wishes all our wonderful fans a very Merry Christmas and Happy Holidays! http://t.co/UPp4yDpjpi
309|Christmas is coming! Rent a car for the holly jolly season before they're all gone! Click here to start booking: http://t.co/ciAYS9W5d7
310|With Xmas coming in less than a month, we urge all motorists to beware whilst driving. http://t.co/6ddmVPECEw
311|Celebrate this holiday season with @DriveSG, we have plenty of presents to share with our followers. Click here http://t.co/SO7xzqlmVn
312|Finding parking in the Central area can be such a hassle @ The 3 Cheapest Places to Park in Orchard Road for Cars http://t.co/Okuwij1Fye
313|Always smile to chase your Monday blues away! Hope this joke will keep your grins on. http://t.co/kuOYH5e6gF
314|Happy Halloween Everyone! Head over to our FB Page to receive a treat! Enjoy your Halloween Weekend ahead! http://t.co/4yj4FGZGMe
315|"It's the start of a week again! A joke to lighten up your mood. Smooth week ahead! 

Credits to Peter Porcupine http://t.co/0USIpVoliX"
316|Morning! Just a friendly reminder to drive carefully on the road. TGIF,  fellow friends! #quoteoftheday #drivingwoes http://t.co/iDchTCl1QT
317|A joke to ease your day! One more day to weekend! Cheers ~ http://t.co/klFcbBcJJO
318|To all our Hindu fans, we hope you've enjoyed your Diwali celebrations!
319|Driving Quote of the day http://t.co/u7lrdGlHFH
320|Our Deepavali packages are out! Choose between a midweek package deal or a full weekday package. Also remember to join the photo contest!
321|Win a $30 Drive.SG Voucher! Snap a photo and #drivesgmoments to enter the Festival of Lights contest. More details &gt;&gt; http://t.co/fy1B6GasJp
322|Help us kickstart Deepavali with a picture! #drivesgmoments to win a $30 voucher. Read more &gt;&gt;http://t.co/fy1B6GasJp http://t.co/fDyYvoTQJ8
323|"You know, somebody actually complimented me on my driving today. They left a little note on the windscreen, it said ""Parking Fine."" 
~ Tommy"
324|It is wedding season! Convertibles seem to be real popular. Presenting 2 of our most romantic cars.  #drivesgmoments http://t.co/Ao7dH7mRvz
325|"Audi A6 &amp; BMW X3 are going at $50/day, min. 3 booking days. Click on our webpage now! https://t.co/77tdSeWKeH
*T&amp;C applies"
326|"Drive.SG is reaching 3 years old! To celebrate, an awesome deal will be coming your way. Click on our FB Page NOW! 
https://t.co/895SGmt1mI"
327|Is changing your car tyre confusing? Here's our guide for you! https://t.co/6M0CYDigkZ
328|As the cost of car ownership gets higher in SG, why not look to another alternative: car rental with Drive.SG? https://t.co/WcUVQ34LBM
329|Drive in style like a F1 driver! Visit http://t.co/EovQ7AAj0C for a chance to try 1 in 3 available super cars: Audi, Maserati, Lamborghini
330|Less than 10 cars available for booking this #hariraya period
331|New video today! Not very adept at driving? Why not hire a chauffeur with us! http://t.co/MNjULXR0tg
332|Presenting another new video this week! #DotD Deal of the day! http://t.co/uaNCHyI8xW
333|Presenting to you our new video for Hari Raya! Hari, rent a car this Raya with Drive.SG! http://t.co/5HuTafHhMw
334|Porsche Boxster Tiptronic! &lt;3 http://t.co/nXHkEyQN09
335|Give your Dad the Drive of His Life with Drive.SG this Father's Day!Check out our FB page now! http://t.co/blnKQnixgU
336|"Participate now in our ""The COE is Right"" game on our FB page to get attractive vouchers! http://t.co/gopbzVDsB2 http://t.co/7JH10ZSrs8"
337|EARLY BIRD SPECIAL! Now to 30th June. Use the voucher code: drivehr2014 to receive 10% off all car… http://t.co/yJwnWeKzUw
338|We have reached 20,000 FB likes! Thank you for supporting us! http://t.co/hqyPqi3OFS
339|We have reached 20,000 FB likes! Thank you fans for supporting us! http://t.co/sE7keo3jM8
340|We haven't been very active but we have something exciting coming up! :D
341|Carson Diary 2- Always there for me~ http://t.co/zW4r3vsTFe
342|Our Hedgehog escapades is back with Carson Diary 1! =) http://t.co/fSTy9kkP2a
343|WOW fantastic deal from 28-30 Apr! Only on Drive.SG mobile app! http://t.co/Gc9ec4U20c
344|Have you seen the new Mini? It's said to be roomier than previous models! http://t.co/2KjY07VQnb
345|It's Wednesday! And we are giving out a bonus prize! Stand to win by Downloading Drive.SG mobile app and Register with us! :)
346|"Simply Download Drive.SG app and Register with us!
Further details: http://t.co/duLwINtsZo http://t.co/Q1Aj7J4ZEu"
347|Happy Easter to all our fans! Enjoy your bunny hunting! 😃
348|We have announced our Moments as well as our Watch &amp; Win winners! Head on over to our Facebook now!
349|Stand to Win FREE 1-DAY CAR RENTAL! [By 11 April (today), 1500]! Want to know how? Follow us @Drive_SG on Instagram! http://t.co/6awv1OWNdh
350|Last 3 days to win a day of free car rental! To enter, follow us on Instagram NOW! http://t.co/YOzS5Hbyx6
351|We launch our FIRST Mini Movie on Youtube and Facebook! Check it out here: http://t.co/5hDJMqFWwz http://t.co/36CTfvtlJc
352|Happy April Fool's Day! If u haven't been following us on Insta, do it now! Here's what we did. #AprilFoolsDay #car http://t.co/MFgFdzj8cu
353|Share a pic on Instagram (@Drive_SG) and tell us what you would do with a day of FREE car rental! #drivesgmoments http://t.co/IIXpo7UzOX
354|Drive.SG's Instagram launch! Stand a chance to win a day of free car rental worth $100! Follow us on Instagram (@drive_sg) for more details.
355|"""Baseball is like driving; It's the one who gets home safely that counts."" - Tommy Larsoda #quotd #drivesafe #car http://t.co/jtHRQxD9rv"
